"Y" "X1" "X2" "X3" "X4" "X5" "X6" "Lat" "Longi"
"686" 11.64395373 14.09 34 3 1 0 0.011582804 38.016188 -121.34544
"687" 11.65702581 13.95 18 3 0 0 0.029812771 38.035496 -121.333248
"688" 11.68266824 10.76 5 3 0 0 0.006844562 37.989928 -121.355216
"689" 11.96081129 19.94 8 3 0 0 0.02566076 38.05648 -121.345616
"690" 12.34583459 21.86 11 3 0 1 0.000478877 38.014584 -121.357728
"691" 11.50034668 10.64 0 3 1 0 0.011937358 37.959776 -121.323744
"692" 11.50791292 12.43 49 2 0 0 0.012792721 37.97276 -121.327736
"693" 12.20582261 23.72 23 5 0 0 0.005141043 38.0127 -121.362
"694" 12.5776362 28.77 12 4 0 0 0.010598221 37.998816 -121.339928
"695" 11.40700924 11.12 50 2 1 0 0.016228348 37.966072 -121.321536
"696" 11.75587164 12.93 44 3 0 1 0.042264905 38.003908 -121.308
"697" 11.80559508 16.65 32 3 0 0 5e-05 38.001388 -121.352176
"698" 11.27720313 10.47 48 2 0 0 0.003079108 37.966432 -121.342312
"699" 12.11724143 18.85 7 4 0 0 0.014456684 38.055672 -121.357288
"700" 12.5998025 23.9 3 4 0 0 0.012833105 37.973664 -121.355472
"701" 11.75194237 11.88 15 3 0 0 0.003512497 37.994972 -121.35356
"702" 11.74324322 16.44 20 3 1 0 0.033470627 38.031956 -121.328
"703" 11.51242534 15.11 15 3 1 0 0.039758304 38.04172 -121.324968
"704" 11.8277362 20.26 57 3 0 0 0.022007008 37.973528 -121.318176
"705" 11.73566894 18.77 20 3 0 0 0.040661052 38.037224 -121.322304
"706" 11.65225253 11.01 48 3 0 0 0.029360069 38.009128 -121.323768
"707" 11.8702502 17.7 45 4 0 0 0.025113187 38.016252 -121.331
"708" 11.84904049 15.22 38 3 0 0 0.01269447 38.015628 -121.34404
"709" 11.76756768 12.9 83 2 1 0 0.033329578 37.970924 -121.305088
"710" 11.66564655 13 39 3 0 0 0.046004218 38.001784 -121.3032
"711" 12.38002595 26.17 21 5 0 0 0.007438036 38.011304 -121.363928
"712" 11.70354582 14.61 18 3 1 1 0.0155888 37.984248 -121.329088
"713" 11.89818787 21.17 22 3 0 0 0.019463368 37.994468 -121.328808
"714" 11.22390917 10.1 50 3 1 0 0.019806162 37.977612 -121.322072
"715" 11.77143616 17 14 3 0 0 0.01538771 38.033028 -121.347736
"716" 12.40901349 22.42 8 3 0 0 0.012201557 37.980828 -121.357504
"717" 11.58524613 11.87 73 2 0 0 0.028375831 37.964976 -121.308136
"718" 11.9511804 17.21 19 3 0 0 0.001750213 37.983656 -121.3474
"719" 12.43916653 25.15 74 5 1 1 0.03252929 37.973868 -121.307056
"720" 11.6784399 16.98 20 3 0 0 0.025747597 38.039408 -121.339072
"721" 11.7905572 18.9 9 4 1 0 0.06458091 38.012292 -121.287312
"722" 11.71177632 15 24 3 0 1 0.012169933 38.027524 -121.349096
"723" 11.57119437 10.74 81 2 0 1 0.034853493 37.971128 -121.303536
"724" 11.62177987 15.52 19 3 0 1 0.00719946 38.033596 -121.356704
"725" 11.48760766 10.4 73 2 1 0 0.035397928 37.969916 -121.302496
"726" 11.54248427 15.35 79 2 0 1 0.034033961 37.96502 -121.302104
"727" 11.60823564 10.56 37 3 1 0 0.108861297 38.0475 -121.25328
"728" 11.53761808 14.42 27 3 1 0 0.048393428 38.024908 -121.309384
"729" 11.28915672 11.62 51 2 0 0 0.023783534 37.963332 -121.312424
"730" 11.65268741 13.1 5 3 0 1 0.090226117 38.02188 -121.26352
"731" 11.38509209 11.53 23 3 0 0 0.049927688 38.024612 -121.307632
"732" 12.33929149 20.68 34 4 0 1 0.021916033 37.964884 -121.361864
"733" 11.76368418 16.04 9 3 0 0 0.059655993 38.013052 -121.292864
