"Y" "X1" "X2" "X3" "X4" "X5" "X6" "Lat" "Longi"
"960" 11.36210258 12.23 31 3 0 1 0.049286381 38.031012 -121.310736
"961" 12.46071486 27.07 53 3 0 1 0.034718858 37.978792 -121.306576
"962" 11.94145585 22.26 20 4 0 1 0.02647105 38.040756 -121.338808
"963" 11.31447453 13.91 44 3 0 0 0.028702381 37.983408 -121.314752
"964" 12.25247902 18.95 7 3 0 1 0.009717959 37.988468 -121.357736
"965" 12.51539389 26 30 5 0 1 0.005605573 37.99826 -121.35704
"966" 11.88448902 18.32 20 4 0 1 0.035118209 38.033272 -121.326736
"967" 11.39075783 12.86 43 3 1 1 0.001580955 37.964192 -121.339864
"968" 11.69524702 14.7 3 3 1 1 0.065944566 38.00874 -121.284512
"969" 11.11332811 11.04 46 3 1 1 0.001481358 37.969216 -121.341656
"970" 12.8346813 33.01 44 3 0 1 0.028657825 38.01652 -121.327312
"971" 11.77143616 15.16 30 3 0 0 0.012363298 38.01666 -121.344784
"972" 12.14950229 17.23 7 3 0 1 0.010009575 37.988384 -121.358016
"973" 11.33738089 11.63 52 2 1 1 0.020393774 37.96708 -121.317464
"974" 11.72803684 14.55 8 4 0 1 0.075409741 38.026244 -121.281008
"975" 11.70354582 12.24 39 3 1 1 0.012911906 38.01908 -121.345112
"976" 11.67419361 14.33 19 3 1 1 0.004598677 38.032632 -121.35912
"977" 12.52452638 23.25 5 4 0 1 0.018785196 37.979436 -121.364016
"978" 11.46163217 13.72 73 3 1 1 0.023032733 37.96468 -121.313736
"979" 11.98292909 21.4 22 3 0 0 0.009169765 37.988212 -121.337448
"980" 11.49781183 12.71 19 3 0 1 0.063326333 38.033936 -121.296832
"981" 11.58058411 14.66 38 3 1 1 0.038461517 38.014192 -121.315952
"982" 11.40756495 14.9 20 3 0 1 0.072534826 38.0237 -121.28312
"983" 11.91839057 14.98 71 3 0 1 0.038581874 37.979876 -121.302856
"984" 11.94470788 12.95 58 2 0 0 0.03867878 37.975916 -121.301256
"985" 12.15477935 23 49 3 0 1 0.028704864 37.974608 -121.311424
"986" 11.42954386 10.04 52 3 1 1 0.020847199 37.972364 -121.318976
"987" 11.12726298 11.96 28 4 1 1 0.035887564 38.026832 -121.32348
"988" 11.62892914 13.3 8 3 0 1 0.061927811 38.003368 -121.286776
"989" 11.56171563 15.25 50 3 1 1 0.042851586 37.985392 -121.300376
"990" 12.27139211 23.25 6 4 0 1 0.007610847 37.991084 -121.356472
"991" 11.84222921 15 0 3 0 0 0.000571679 38.040124 -121.366256
"992" 11.88448902 13.49 51 3 0 1 0.029494393 37.970448 -121.309008
"993" 11.72399644 15.57 27 4 1 1 0.013518623 38.0205 -121.345
"994" 11.08214255 8.35 77 2 1 1 0.046305663 37.976872 -121.293464
"995" 11.49781183 14.07 44 3 0 1 0.038826657 38.022296 -121.318624
"996" 11.61728548 14.52 75 3 0 1 0.040046885 37.9728 -121.298616
"997" 11.96876678 16.52 40 3 1 1 0.009327229 38.004472 -121.343424
"998" 12.04941884 19.47 43 3 0 1 0.014955045 38.014444 -121.341176
"999" 11.8493977 20.1 13 4 0 1 0.007927155 38.034956 -121.35644
"1000" 11.6784399 15 10 3 0 1 0.054366832 38.028956 -121.304528
"1001" 11.7905572 16.77 19 3 0 1 0.006550325 37.980844 -121.337464
