"Y" "X1" "X2" "X3" "X4" "X5" "X6" "Lat" "Longi"
"1234" 11.49272276 14.81 71 3 1 0 0.011389716 37.966548 -121.35124
"1235" 11.69524702 14.25 51 2 1 0 0.033693167 37.971508 -121.30492
"1236" 12.30138283 20.17 17 3 0 0 0.013190244 37.997744 -121.336752
"1237" 11.47729829 13.83 75 2 0 0 0.034743171 37.966116 -121.30176
"1238" 11.97665948 21.04 1 3 0 0 0.012719196 37.965608 -121.325112
"1239" 11.87059991 15.19 18 3 0 0 0.01853686 38.039968 -121.346992
"1240" 11.393973 9.57 46 2 0 1 0.019215343 38.003272 -121.3324
"1241" 11.35040654 14.7 19 3 1 0 0.052928823 37.996752 -121.293896
"1242" 11.60823564 13.95 16 3 1 0 0.069693432 38.01346 -121.282288
"1243" 11.47210347 11.58 19 3 1 0 0.073110851 38.027616 -121.283984
"1244" 11.91772368 23.09 10 5 1 0 0.004442937 38.040448 -121.36224
"1245" 11.36210258 9.88 59 2 0 1 0.075640247 37.965628 -121.257856
"1246" 12.05524976 18 50 2 0 0 0.031151701 37.9752 -121.309032
"1247" 12.38839004 20.61 1 3 0 0 0.01199795 37.972724 -121.354224
"1248" 12.04296531 23.88 25 5 0 0 0.006158491 38.0116 -121.362672
"1249" 11.90496755 19.55 7 4 0 0 0.062056824 37.997784 -121.284528
"1250" 11.75978554 10.25 53 3 0 0 0.029095422 37.969404 -121.30904
"1251" 11.22524339 11.1 22 3 1 0 0.068327844 38.035044 -121.291904
"1252" 11.62625415 14.05 19 3 0 0 0.061551462 38.034504 -121.298944
"1253" 12.01370075 26.78 9 5 1 0 0.054526538 38.033896 -121.306224
"1254" 11.18372671 7.8 54 2 1 0 0.045733949 37.9815 -121.295824
"1255" 11.77490504 12.96 20 4 0 0 0.058565743 38.028852 -121.3
"1256" 11.37939407 10.56 38 3 0 1 0.039529591 38.01516 -121.315176
"1257" 11.71586631 16.17 44 3 0 0 0.026276582 38.019268 -121.330896
"1258" 11.58988651 14.26 28 3 0 0 0.045785265 38.025024 -121.312216
"1259" 11.27720313 10.2 52 2 1 0 0.019355702 37.966832 -121.31848
