"Y" "X1" "X2" "X3" "X4" "X5" "X6" "Lat" "Longi"
"1097" 11.88448902 19.42 15 4 0 1 0.014280528 38.042196 -121.352384
"1098" 11.11988288 9.72 47 3 1 0 0.007484661 37.965528 -121.34668
"1099" 11.69441334 15.98 22 3 0 1 0.039722921 38.03692 -121.323192
"1100" 11.607781 18.78 19 3 0 0 0.067837794 38.022416 -121.287656
"1101" 11.8913619 15.05 54 3 1 1 0.026819775 37.96864 -121.311184
"1102" 11.03650127 9.15 53 2 1 0 0.047110469 37.97248 -121.290944
"1103" 11.74799759 16.21 20 3 1 1 0.035531148 38.025612 -121.3234
"1104" 12.06681058 22.66 19 4 0 0 0.006699995 37.980844 -121.337304
"1105" 12.46071486 26.45 22 4 1 0 0.010148106 37.9899 -121.33704
"1106" 11.64395373 14.81 73 2 1 1 0.037705163 37.968864 -121.299632
"1107" 12.05583098 22.68 11 5 0 1 0.005815043 38.040032 -121.360616
"1108" 11.40756495 10.92 37 3 0 1 0.039723508 38.014396 -121.31468
"1109" 11.33140359 9.76 52 2 1 1 0.012025712 37.967224 -121.326464
"1110" 11.14186178 11.1 76 3 1 0 0.084119734 37.982016 -121.254984
"1111" 11.65268741 15.63 9 3 0 1 0.053339761 38.02984 -121.30596
"1112" 12.10043431 17.77 2 4 0 1 0.079296207 37.994368 -121.264808
"1113" 11.05089001 8 53 2 1 0 0.074635075 37.962488 -121.257744
"1114" 11.8277362 18.85 9 4 0 1 0.060804524 38.01628 -121.292856
"1115" 11.51691749 14.99 32 4 1 1 0.049980245 38.0186 -121.305304
"1116" 11.31447453 13.32 52 2 1 0 0.059769211 37.974524 -121.278184
"1117" 11.71452664 13.74 14 3 1 1 0.021047772 38.028928 -121.340136
"1118" 11.35040654 12.66 31 3 1 1 0.048854234 38.017828 -121.306216
"1119" 11.65268741 16.07 39 4 0 0 0.048889134 38.001964 -121.300184
"1120" 11.6351431 13.91 45 3 1 1 0.04562649 38.0055 -121.305008
"1121" 12.69158046 30.23 11 4 0 0 0.00505931 37.961444 -121.342544
"1122" 11.42954386 14.67 19 4 1 1 0.06391667 38.034484 -121.296408
"1123" 11.2708539 12.11 54 3 1 1 0.063587395 37.972856 -121.273472
"1124" 11.77490504 19.39 51 2 0 0 0.061039307 37.973396 -121.2764
"1125" 12.43718437 31.78 20 3 0 0 0.010787378 38.011652 -121.36764
"1126" 12.25486281 21 7 4 0 1 0.011224147 37.990156 -121.359984
"1127" 11.48760766 11 49 3 1 1 0.044589005 37.99054 -121.300464
"1128" 11.79433792 18.95 23 4 1 0 0.035945811 38.037688 -121.32752
"1129" 11.28915672 8.5 59 2 0 1 0.064457139 37.974512 -121.273168
"1130" 12.1281111 20.01 3 4 0 0 0.030194051 38.046292 -121.33692
"1131" 11.39639165 11.97 42 3 1 0 0.019262279 37.96896 -121.319384
"1132" 11.46163217 11.2 37 3 1 1 0.041187761 37.993324 -121.305152
"1133" 11.76756768 15.22 40 3 1 1 0.018535454 38.007721 -121.334808
"1134" 11.47210347 11.95 22 3 1 1 0.020789297 37.978996 -121.321544
"1135" 11.40700924 10.64 0 3 1 1 0.080583614 37.980396 -121.258152
"1136" 11.3083583 13.01 20 4 0 0 0.073896172 38.024672 -121.282032
"1137" 12.01370075 21.98 25 4 1 0 0.004636853 38.009304 -121.350264
"1138" 12.52452638 26.72 20 5 0 1 0.009239323 38.0104 -121.365512
"1139" 12.07254125 18.11 10 3 1 0 0.003894019 38.01464 -121.3614
"1140" 11.8493977 19.43 9 4 0 1 0.06581945 38.015944 -121.287368
"1141" 11.81265962 15.13 59 3 1 0 0.035418344 37.971244 -121.302976
"1142" 11.4019939 10.03 45 3 1 0 0.000316515 37.97354 -121.341368
"1143" 11.84186944 15.14 16 4 0 1 0.018475095 38.028848 -121.342856
"1144" 11.8913619 15.61 14 3 0 0 0.011501279 37.966804 -121.351456
"1145" 12.15477935 23.86 77 4 0 0 0.037119104 37.973028 -121.301832
"1146" 11.91672252 15.76 49 3 0 0 0.027950063 37.968916 -121.31008
"1147" 11.52079442 11.4 53 2 0 1 0.026191677 37.968832 -121.311928
"1148" 11.69524702 15.52 20 3 0 1 0.022224099 38.037612 -121.34216
"1149" 11.28853113 12.54 45 3 1 0 0.036543252 38.007368 -121.315424
"1150" 11.74799759 14.98 4 4 0 0 0.069432578 38.008128 -121.280552
"1151" 11.33857208 13.08 80 3 0 0 0.047405362 37.979856 -121.293416
"1152" 11.44035477 10.64 0 3 1 1 0.072511548 37.988152 -121.269712
"1153" 11.35040654 11.06 44 3 1 1 0.046478267 38.007084 -121.304696
"1154" 12.60484877 26.22 11 3 0 0 0.000579301 37.975748 -121.34316
"1155" 11.76679219 14.1 27 3 0 1 0.012223973 38.0205 -121.346384
